,artist,danceability,energy,
"Piano Sonata No. 18 in G Major, Op. 78, D. 894: IV. Allegretto",Franz Schubert,0.294,0.142,
"Trio Sonata in G Major, Wq. 144: I. Adagio",Carl Philipp Emanuel Bach,0.152,0.0626,
"Trio No. 2 en Mi Mineur, Op. 92: III. Andante con moto",Camille Saint-SaÃ«ns,0.236,0.0632,
"String Quintet in C Major, Op. 29: II. Adagio molto espressivo",Ludwig van Beethoven,0.173,0.0619,
Viola Sonata in C Minor: III. Andante con variazioni,Felix Mendelssohn,0.295,0.0918,
Magic City,Wahlstedt,0.757,0.867,
Livin' 4 Ya,MOTi,0.514,0.862,
Last Chance,Kaskade,0.412,0.83,
Nite Time - Ruby & Tony Radio Edit,George Acosta,0.654,0.728,
Satellites,DubVision,0.638,0.828,
Can't Take It,Breathe Carolina,0.591,0.881,
All Aloud,Adrian Lux,0.624,0.732,
Close,IZECOLD,0.369,0.801,
Cascade - Original Mix,Tommy Trash,0.704,0.962,
Waiting,Dash Berlin,0.48,0.878,
Everytime We Touch,David Guetta - SÃ©bastian Ingrosso - Joachim Garraud - Chris Willis - Steve Angello,0.707,0.471,
Milky Way,Madison Mars,0.623,0.975,
You,Galantis,0.184,0.871,
La Tromba Risin' (feat. Tasita D'Mour),Chris Lake,0.691,0.951,
Crash 2.0 (Adventure Club vs. DallasK),Adventure Club,0.66,0.652,
Raven,John DahlbÃ¤ck,0.569,0.896,
Icarus - Black Caviar Remix,R3hab,0.798,0.809,
Wasted Love (feat. Dougy),Steve Angello,0.539,0.936,
Summer,Marshmello,0.583,0.748,
Catch Me (feat. Naaz),Flux Pavilion,0.56,0.916,
Save the World - Radio Mix,Swedish House Mafia,0.507,0.665,
"Wild One Two - feat. David Guetta, Nicky Romero & Sia",Jack Back,0.703,0.684,
Fire In Your New Shoes (feat. Martina of Dragonette) - Sultan & Ned Shepard Electric Daisy Remix,Kaskade,0.526,0.861,
Calling (Lose My Mind) - Radio Edit,Sebastian Ingrosso,0.412,0.871,
Language,Porter Robinson,0.737,0.614,
Strobe - Radio Edit,deadmau5,0.649,0.706,
Seek Bromance (Avicii Vocal Edit) - Avicii Vocal Edit,Tim Berg,0.49,0.811,
Poison,Martin Garrix,0.502,0.756,
Take Over Control - Radio Edit,Afrojack,0.713,0.81,
Teenage Crime - Axwell & Henrik B Remode,Adrian Lux,0.575,0.913,
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,0.747,0.877,
Turn Me Up - ViP Mix,MOTi,0.719,0.81,
Together,Martin Garrix,0.509,0.729,
Whatcha Need,W&W,0.393,0.94,
Levels - Radio Edit,Avicii,0.605,0.873,
Faded,Alan Walker,0.589,0.651,
Move for Me,Kaskade,0.561,0.771,
Turn up the Speakers - Radio Edit,Afrojack,0.692,0.898,
Counting Down The Days - Yotto Edit,Above & Beyond,0.672,0.785,
Summer Dreams,Michael Brun,0.691,0.721,
Changes - Dirty South Remix,Chris Lake Feat. Laura V,0.841,0.673,
Heroes (we could be),Alesso,0.51,0.747,
Everything,R3hab,0.516,0.786,
Lean On (feat. MÃ˜ & DJ Snake),Major Lazer,0.723,0.809,
Starlight - Radio Mix,SOVI,0.568,0.928,
City Of Dreams - Radio Edit,Dirty South,0.476,0.815,
Chords Of Life - Original Mix,Tim Mason,0.605,0.642,
Blackout - Madison Mars Radio Mix,Tritonal,0.605,0.884,
Freak,Friction,0.408,0.849,
Skyscrapers,Daydreamer,0.598,0.534,
Chemicals - Radio Edit,TiÃ«sto,0.529,0.955,
Run Wild - Alternative Edit Mix Cut,Hardwell,0.475,0.838,
Blackout,Pegboard Nerds,0.668,0.977,
Rock The House - Radio Edit,Afrojack,0.69,0.841,
Sweet Memories,CID,0.624,0.923,
Borrowed Lives (feat. NVDES),Pierce Fulton,0.719,0.737,
Concrete Angel (Radio Edit) (feat. Christina Novelli),Gareth Emery,0.631,0.893,
Yebisah,Mark Knight,0.54,0.933,
Otherside,Suyano,0.546,0.772,
Falling Back - Radio Edit,Cosmic Gate,0.608,0.878,
Fireflies,Owl City,0.591,0.649,
Good Time,Owl City,0.559,0.882,
When Can I See You Again?,Owl City,0.631,0.838,
Verge,Owl City,0.55,0.747,
Vanilla Twilight,Owl City,0.581,0.526,
You Make Me Wanna...,Usher,0.761,0.639,
Can't You See,Total,0.715,0.721,
Lost Without U,Robin Thicke,0.67,0.348,
'Till I Collapse,Eminem,0.572,0.853,
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Lil Dicky,0.858,0.697,
Calm Down,G-Eazy,0.537,0.624,
Remember The Name (feat. Styles Of Beyond),Fort Minor,0.688,0.835,
Mind Tricks,Bassnectar,0.578,0.909,
Help,Papa Roach,0.507,0.918,
Follow You,Bring Me The Horizon,0.54,0.661,
Snow Cats,AFI,0.231,0.791,
Paranoia,A Day To Remember,0.409,0.992,
Hated,Beartooth,0.458,0.99,
Shock Me,Baroness,0.396,0.912,
The Devil's Bleeding Crown,Volbeat,0.55,0.917,
Go Down in History,Four Year Strong,0.505,0.985,
Serpents,Neck Deep,0.351,0.915,
Black Honey,Thrice,0.442,0.892,
Chop Suey!,System Of A Down,0.42,0.929,
Something To Believe In,Young the Giant,0.623,0.886,
She Hates Me,Puddle Of Mudd,0.585,0.757,
Don't Threaten Me With A Good Time,Panic! At The Disco,0.559,0.895,
Sex on Fire,Kings of Leon,0.542,0.905,
Cold,Maroon 5,0.7,0.714,
It Ain't Me (with Selena Gomez),Kygo,0.64,0.533,
Bring Me the Night,Sam Tsui feat. Kina Grannis,0.393,0.505,
Crush,David Archuleta,0.599,0.677,
Song 2 You,Victorious Cast,0.591,0.866,
L.A. Boyz,Victorious Cast feat. Victoria Justice and Ariana Grande,0.616,0.91,
Faster than Boyz,Victorious Cast,0.593,0.814,
Bad Boys,Victorious Cast,0.581,0.86,
"Too Little, Too Late",JoJo,0.428,0.781,
Fast Car (feat. Kina Grannis),Kina Grannis,0.66,0.255,
In Your Arms,Kina Grannis,0.672,0.396,
Valentine,Kina Grannis,0.862,0.351,
The One You Say Goodnight To,Kina Grannis,0.696,0.439,
Gone,Kina Grannis,0.631,0.591,
Strong Enough,Kina Grannis,0.637,0.507,
Without Me,Kina Grannis,0.546,0.522,
L.A. Story,Sammy Adams,0.593,0.872,
Something About the Sunshine,Anna Margaret,0.688,0.795,
Like Nobody's Around,Big Time Rush,0.586,0.896,
Amazing,Big Time Rush,0.403,0.883,
Boyfriend,Big Time Rush,0.614,0.857,
Worldwide,Big Time Rush,0.531,0.771,
Big Time Rush,Big Time Rush,0.599,0.888,
Popular Song,MIKA,0.644,0.842,
All About Tonight - featuring Cymphonique Miller,How To Rock Cast,0.543,0.852,
Count On You,Big Time Rush,0.638,0.705,
I Know You Know,Big Time Rush,0.437,0.802,
Bring It All to Me,Blaque,0.695,0.579,
Too Close,Next,0.85,0.398,
I'm So Into You,SWV,0.841,0.552,
Don't Let Go (Love),En Vogue,0.618,0.688,
Candy Rain,Soul For Real,0.583,0.681,
Wifey,Next,0.829,0.652,
On Bended Knee,Boyz II Men,0.635,0.53,
Get It On Tonite,Montell Jordan,0.809,0.522,
End Of The Road,Boyz II Men,0.642,0.421,
I'll Make Love To You,Boyz II Men,0.563,0.487,
Water Runs Dry,Boyz II Men,0.578,0.375,
A Song For Mama,Boyz II Men,0.571,0.447,
Together Again,Janet Jackson,0.873,0.591,
Someone To Call My Lover,Janet Jackson,0.729,0.914,
Escapade,Janet Jackson,0.815,0.944,
Bye Bye Bye,*NSYNC,0.571,0.87,
This I Promise You - Radio Edit,*NSYNC,0.55,0.563,
It's Gonna Be Me,*NSYNC,0.647,0.87,
God Must Have Spent a Little More Time on You - Remix,*NSYNC,0.468,0.535,
I Want You Back - Radio Edit,*NSYNC,0.754,0.946,
Pop - Radio Version,*NSYNC,0.841,0.866,
Tearin' up My Heart - Radio Edit,*NSYNC,0.685,0.872,
As Long as You Love Me,Backstreet Boys,0.773,0.801,
Quit Playing Games (With My Heart),Backstreet Boys,0.798,0.862,
I'll Never Break Your Heart,Backstreet Boys,0.527,0.578,
All I Have to Give,Backstreet Boys,0.729,0.561,
The Call,Backstreet Boys,0.697,0.856,
I Want It That Way,Backstreet Boys,0.683,0.687,
Show Me the Meaning of Being Lonely,Backstreet Boys,0.634,0.624,
Shape of My Heart,Backstreet Boys,0.571,0.77,
I'll Be Missing You (feat. 112),Diddy,0.862,0.479,
I Need A Girl (Part One) (feat. Usher & Loon),Diddy,0.66,0.707,
Where the Party At,Jagged Edge,0.596,0.661,
I Wanna Know,Joe,0.725,0.487,
Stay,Ne-Yo,0.651,0.645,
So Sick,Ne-Yo,0.699,0.592,
When You're Mad,Ne-Yo,0.654,0.564,
Sexy Love,Ne-Yo,0.622,0.503,
All My Life,K-Ci & JoJo,0.634,0.528,
Take Me There - Remix,Blackstreet,0.779,0.711,
MMMBop,Hanson,0.686,0.952,
Case Of The Ex (Whatcha Gonna Do),MÃ½a,0.78,0.69,
My Love Is Like...Wo - Main Mix/Album Version,MÃ½a,0.833,0.677,
Angel of Mine - Radio Mix,Monica,0.592,0.562,
For You I Will,Monica,0.652,0.473,
Two Wrongs,Wyclef Jean,0.621,0.579,
Take Me As I Am,Wyclef Jean,0.685,0.784,
Sweetest Girl (Dollar Bill),Wyclef Jean,0.733,0.744,
Slow Jam,Usher,0.701,0.457,
Ironic - 2015 Remastered,Alanis Morissette,0.408,0.582,
U Got It Bad,Usher,0.816,0.5,
My Boo,Usher,0.662,0.507,
Don't Love You No More (I'm Sorry),Craig David,0.635,0.54,
Let Me Love You,Mario,0.622,0.593,
Just a Friend 2002 - Radio Edit,Mario,0.538,0.677,
Say My Name,Destiny's Child,0.713,0.678,
"Jumpin', Jumpin'",Destiny's Child,0.771,0.685,
"Independent Women, Pt. I",Destiny's Child,0.73,0.602,
"Bills, Bills, Bills",Destiny's Child,0.845,0.576,
No More (Baby I'ma Do Right),3LW,0.721,0.723,
Summer Is Over feat. Sara Bareilles,Jon McLaughlin,0.518,0.666,
Beautiful Disaster,Jon McLaughlin,0.415,0.661,
Human,Jon McLaughlin,0.319,0.664,
So Close,Jon McLaughlin,0.386,0.248,
In Love With a Girl,Gavin DeGraw,0.439,0.906,
Simple Love Song,Anuhea,0.764,0.348,
Honeymoon Avenue,Ariana Grande,0.685,0.607,
Tattooed Heart,Ariana Grande,0.454,0.521,
Almost Is Never Enough,Nathan Sykes,0.4,0.337,
Perfect Harmony,Rags Cast,0.664,0.32,
Pyramid (feat. Iyaz),Charice,0.562,0.659,
Best Friend,Jason Chen,0.637,0.659,
Over And Over Again,Nathan Sykes,0.47,0.271,
Put Your Arms Around Me,Natasha Bedingfield,0.758,0.699,
Try Everything,Shakira,0.704,0.604,
Starving,Hailee Steinfeld,0.712,0.62,
I Dare You,Bea Miller,0.616,0.709,
Force of Nature,Bea Miller,0.658,0.566,
Perfect Picture,Bea Miller,0.555,0.79,
Tangled Up In Me,Skye Sweetnam,0.51,0.708,
Why Can't I?,Liz Phair,0.487,0.759,
God Is a DJ,P!nk,0.635,0.977,
Save My Soul,JoJo,0.406,0.638,
Mad Love.,JoJo,0.277,0.604,
Secret Love,JoJo,0.776,0.507,
Dear No One,Tori Kelly,0.498,0.586,
First Heartbreak,Tori Kelly,0.657,0.485,
Video,India.Arie,0.652,0.621,
"Beauty and the Beast - From ""Beauty and the Beast""",Ariana Grande,0.494,0.542,
I2I,Tevin Campbell,0.732,0.772,
Confetti Falling,Big Time Rush,0.557,0.796,
You Gotta Be,Des'ree,0.627,0.669,
Can't Blame a Girl for Trying,Sabrina Carpenter,0.616,0.401,
Eyes Wide Open,Sabrina Carpenter,0.586,0.637,
"Wildside - From ""Adventures in Babysitting""",Sofia Carson,0.763,0.569,
Can I Have This Dance,High School Musical Cast,0.539,0.658,
Hold On,Wilson Phillips,0.679,0.657,
Be My Baby,Bea Miller,0.627,0.871,
Photograph (feat. Bea Miller),Boyce Avenue,0.717,0.32,
Closer (feat. Sarah Hyland),Boyce Avenue,0.694,0.472,
"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack",Hailee Steinfeld,0.51,0.602,
From This Moment On,Shania Twain,0.428,0.514,
You're Still The One,Shania Twain,0.551,0.527,
Everywhere,Michelle Branch,0.523,0.828,
Just The Girl,The Click Five,0.571,0.89,
Pieces Of Me,Ashlee Simpson,0.5,0.802,
She Looks So Perfect,5 Seconds of Summer,0.493,0.956,
She's Kinda Hot,5 Seconds of Summer,0.659,0.9,
Billie Jean,Michael Jackson,0.92,0.654,
Beat It - Single Version,Michael Jackson,0.779,0.867,
Black or White - Single Version,Michael Jackson,0.758,0.927,
The Way You Make Me Feel,Michael Jackson,0.608,0.816,
Man In The Mirror,Michael Jackson,0.794,0.798,
P.Y.T. (Pretty Young Thing),Michael Jackson,0.888,0.815,
Ultimate,Lindsay Lohan,0.492,0.797,
If I Were a Boy,BeyoncÃ©,0.632,0.518,
With You,Chris Brown,0.658,0.696,
Forever,Chris Brown,0.672,0.819,
A Thousand Years,Christina Perri,0.421,0.407,
Gave Me Something,Jess Glynne,0.589,0.83,
Hold My Hand,Jess Glynne,0.642,0.823,
"When Will My Life Begin - From ""Tangled""/Soundtrack Version",Mandy Moore,0.677,0.437,
"I See the Light - From ""Tangled""/Soundtrack Version",Mandy Moore,0.24,0.16,
Torn,Natalie Imbruglia,0.575,0.886,
Ain't Nobody,Chaka Khan,0.794,0.891,
Dreams,The Cranberries,0.555,0.63,
I Knew I Loved You,Savage Garden,0.556,0.517,
Un-Break My Heart,Toni Braxton,0.625,0.426,
Breathe Again,Toni Braxton,0.689,0.677,
You're Makin' Me High,Toni Braxton,0.852,0.563,
My Little Secret,Xscape,0.814,0.431,
One Of Those Love Songs,Xscape,0.701,0.383,
Softest Place On Earth,Xscape,0.773,0.309,
The Arms of the One Who Loves You,Xscape,0.657,0.456,
He Wasn't Man Enough,Toni Braxton,0.739,0.947,
Secret Love Song,Little Mix,0.534,0.642,
I Can't Fall in Love Without You,Zara Larsson,0.485,0.332,
Lost Boy,Ruth B.,0.71,0.0565,
Yesterday,Atmosphere,0.849,0.531,
Honest,Joseph,0.413,0.439,
When Will I Learn,Kina Grannis,0.513,0.274,
Lady Brain,The Harmaleighs,0.447,0.288,
Cleopatra,The Lumineers,0.546,0.76,
Heavy,Birdtalker,0.614,0.549,
Celeste,Ezra Vine,0.604,0.841,
Don't Say,Lullanas,0.606,0.411,
Like Home,Colin & Caroline,0.661,0.544,
I Know,Sammy Brue,0.644,0.523,
Adventurers,Holley Maher,0.645,0.52,
Back to You,WILD,0.499,0.94,
Memorial Day,The Accidentals,0.52,0.497,
Fire,Majozi,0.655,0.873,
I Keep Ticking On,The Harmaleighs,0.602,0.771,
Automatic,Castro,0.626,0.601,
Ohio - filous Remix,Damien Jurado,0.599,0.699,
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,0.678,0.783,
Bath Salts,Travis Hayes,0.611,0.487,
"Nocturne No.1 In B Flat Minor, Op.9 No.1",FrÃ©dÃ©ric Chopin,0.206,0.0347,
Semi-Charmed Life,Third Eye Blind,0.64,0.864,
Mr. Jones,Counting Crows,0.581,0.817,
Two Princes,Spin Doctors,0.543,0.912,
Save Tonight,Eagle-Eye Cherry,0.547,0.693,
Hey Jealousy,Gin Blossoms,0.464,0.785,
Good,Better Than Ezra,0.615,0.657,
If You Could Only See,Tonic,0.417,0.946,
You Get What You Give,New Radicals,0.618,0.896,
Why I'm Here,Oleander,0.638,0.666,
Lump,The Presidents Of The United States Of America,0.499,0.873,
Someday - Remastered,Sugar Ray,0.743,0.67,
All I Want,Toad The Wet Sprocket,0.6,0.811,
Push,Matchbox Twenty,0.42,0.672,
What's Up?,4 Non Blondes,0.561,0.555,
Absolutely (Story of a Girl) - Radio Mix,Nine Days,0.481,0.94,
Roll To Me,Del Amitri,0.566,0.804,
Hey Leonardo (She Likes Me For Me),Blessid Union Of Souls,0.637,0.846,
Inside Out,Eve 6,0.483,0.818,
Blister in the Sun - 2002 Remastered Version,Violent Femmes,0.701,0.261,
Cannonball,The Breeders,0.498,0.685,
Iris,The Goo Goo Dolls,0.291,0.79,
Into Your Arms,The Lemonheads,0.48,0.891,
Mmm Mmm Mmm Mmm,Crash Test Dummies,0.58,0.575,
Hollaback Girl,Gwen Stefani,0.926,0.916,
SexyBack,Justin Timberlake,0.967,0.583,
I Gotta Feeling,The Black Eyed Peas,0.741,0.748,
...Baby One More Time,Britney Spears,0.757,0.725,
Genie In A Bottle (Album Version),Christina Aguilera,0.618,0.794,
Fantasy,Mariah Carey,0.671,0.727,
No Scrubs,TLC,0.743,0.675,
Drive,Incubus,0.639,0.849,
My Own Worst Enemy,Lit,0.494,0.946,
Wannabe - Radio Edit,Spice Girls,0.768,0.864,
Tearin' up My Heart - Radio Edit,*NSYNC,0.686,0.915,
I Try,Macy Gray,0.593,0.642,
Ironic,Alanis Morissette,0.295,0.593,
Learn to Fly,Foo Fighters,0.439,0.931,
Smooth,Santana,0.609,0.923,
I Want It That Way,Backstreet Boys,0.667,0.728,
Truly Madly Deeply,Savage Garden,0.566,0.705,
(You Drive Me) Crazy,Britney Spears,0.748,0.939,
Pretty Fly (For a White Guy),The Offspring,0.72,0.898,
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,0.706,0.893,
Remember the Time,Michael Jackson,0.831,0.921,
Meet Virginia,Train,0.675,0.553,
Last Kiss,Pearl Jam,0.622,0.692,
Jump,Kris Kross,0.749,0.745,
"Girls, Girls, Girls",MÃ¶tley CrÃ¼e,0.6,0.931,
Don't Stop Me Now - Remastered 2011,Queen,0.559,0.868,
Coming Around Again,Carly Simon,0.631,0.363,
Hips Don't Lie,Shakira,0.778,0.824,
Don't Cha,The Pussycat Dolls,0.875,0.631,
Every time we touch,Cascada,0.633,0.976,
Where Is The Love?,The Black Eyed Peas,0.835,0.687,
Don't Stop The Music,Rihanna,0.853,0.676,
Survivor,Destiny's Child,0.514,0.911,
Last Friday Night (T.G.I.F.),Katy Perry,0.649,0.815,
"Whenever, Wherever",Shakira,0.793,0.832,
Poker Face,Lady Gaga,0.851,0.806,
Complicated,Avril Lavigne,0.585,0.776,
Das Lied Der Schluempfe,Vader Abraham,0.658,0.781,
Because We Want To,Billie Piper,0.81,0.885,
Cheeky Song (Touch My Bum),The Cheeky Girls,0.757,0.902,
Agadoo - original,Black Lace,0.618,0.96,
Achy Breaky Heart,Billy Ray Cyrus,0.766,0.725,
Jenny from the Block - Track Masters Remix,Jennifer Lopez,0.845,0.768,
Look At Me,Geri Halliwell,0.64,0.947,
(Everything I Do) I Do It For You,Bryan Adams,0.524,0.429,
Against All Odds (Take a Look at Me Now),Mariah Carey,0.498,0.467,
Anyone Can Fall In Love,Anita Dobson,0.672,0.709,
There's No One Quite Like Grandma - 2003 Remastered Version,St. Winifred's School Choir,0.528,0.271,
Earth Song - Remastered Version,Michael Jackson,0.511,0.453,
The Lady In Red,Chris de Burgh,0.53,0.445,
"My Heart Will Go On (Love Theme from ""Titanic"")",CÃ©line Dion,0.433,0.364,
Can I Touch You...There?,Michael Bolton,0.563,0.847,
Lucky,Britney Spears,0.764,0.811,
Believe,Cher,0.653,0.933,
Macarena,Los Del Rio,0.927,0.721,
Boys,Sabrina,0.85,0.623,
Shaddap You Face,Joe Dolce,0.762,0.705,
Ice Ice Baby,Vanilla Ice,0.959,0.545,
Touch Me (I Want Your Body),Samantha Fox,0.664,0.679,
Grandad,Clive Dunn,0.836,0.395,
Puppy Love,Donny Osmond,0.191,0.664,
Girl You Know It's True,Milli Vanilli,0.771,0.812,
Mysterious Girl,Peter Andre,0.653,0.748,
Every Loser Wins,Nick Berry,0.366,0.363,
MMMBop,Hanson,0.685,0.948,
I'd Do Anything For Love (But I Won't Do That),Meat Loaf,0.423,0.655,
"To Roz Bikini (Itsy, Bitsy, Teenie, Weenie)",Polina,0.687,0.724,
Hoochie Mama,2 LIVE CREW,0.895,0.883,
Rockstar,Nickelback,0.616,0.91,
Miracles,Insane Clown Posse,0.668,0.897,
Fuck You Bitch,Wheeler Walker Jr.,0.549,0.576,
Fog On the Tyne,Lindisfarne,0.615,0.403,
Cha Cha Slide,Mr. C,0.854,0.903,
How You Remind Me - LP Mix,Nickelback,0.446,0.764,
Burn It To The Ground,Nickelback,0.614,0.873,
If Today Was Your Last Day,Nickelback,0.485,0.911,
When We Stand Together,Nickelback,0.446,0.9,
Fuck Kd,StaRR Lyfe,0.947,0.829,
Now I Do What I Want,Lil Zay Poppin,0.466,0.72,
300 Violin Orchestra,Jorge Quintero,0.591,0.75,
Shape of You (Major Lazer Remix) [feat. Nyla & Kranium],Ed Sheeran,0.682,0.812,
Party Monster,The Weeknd,0.585,0.612,
U got 2 believe,Paulo Mendonca,0.616,0.908,
Sah,Al Massrieen,0.682,0.518,
Oh Devil,Electric Guest,0.904,0.517,
Shut Up and Dance,WALK THE MOON,0.578,0.866,
Anna Sun,WALK THE MOON,0.472,0.844,
Work This Body,WALK THE MOON,0.421,0.831,
Tightrope,WALK THE MOON,0.467,0.794,
Different Colors,WALK THE MOON,0.48,0.826,
Avalanche,WALK THE MOON,0.594,0.858,
Jenny,WALK THE MOON,0.544,0.788,
Portugal,WALK THE MOON,0.446,0.881,
Quesadilla,WALK THE MOON,0.551,0.732,
Aquaman,WALK THE MOON,0.63,0.772,
Paris - Pegboard Nerds Remix,The Chainsmokers,0.333,0.913,
Quit You - Wuki Remix,Lost Kings,0.743,0.889,
Don't Let Me Down - Zomboy Remix,The Chainsmokers,0.465,0.953,
Faded - Slushii Remix,Alan Walker,0.68,0.725,
Can't Get Enough - Pegboard Nerds Remix,Tommie Sunshine,0.619,0.949,
Light - Loosid Remix,San Holo,0.52,0.809,
Something Just Like This - ARMNHMR Remix,The Chainsmokers,0.484,0.609,
Without U,Steve Aoki,0.583,0.891,
Hold Up,Borgeous,0.562,0.96,
Phone Down - Dodge & Fuski Remix,Lost Kings,0.595,0.975,
Spoon Me - Slushii Remix,Elliphant,0.526,0.825,
Scared To Be Lonely (Conro Remix),Martin Garrix,0.501,0.683,
Let It Go - Scott Melker & Mister Gray Remix,NERVO,0.639,0.978,
"Call On Me - EDWYNN X TIKAL, Spirix Remix",Starley,0.646,0.714,
Aamon,Kuuro,0.595,0.837,
Hey Baby - Steve Aoki Remix,Dimitri Vegas & Like Mike,0.624,0.971,
Brightside - Borgeous Remix,Icona Pop,0.528,0.879,
Like A Bitch - Kill The Noise Remix,Kill The Noise,0.584,0.932,
Candy,Dillon Francis,0.894,0.892,
Habit - Dack Janiels & Wenzday Remix,Rain Man,0.637,0.935,
First Contact,Twin Moons,0.557,0.992,
I Wanna Get Better,Bleachers,0.446,0.915,
